Year,Month,Date,Brood,Male,Female,,,
2017,5,27,NA,1,0,,,
2017,7,10,NA,4,3,,,
2017,7,22,NA,0,1,,,
2017,8,7,NA,3,2,,,
2017,9,4,NA,1,1,,,
2017,9,7,A,0,4,,,
2017,9,7,B,4,1,,,
2017,9,15,NA,2,3,,,
2017,9,17,NA,1,2,,,
2017,9,23,NA,3,0,,,
2017,10,6,NA,4,3,,,
2017,10,14,A,1,1,,,
2017,10,14,B,2,3,,,
2017,10,16,NA,2,3,,,
2017,10,19,NA,2,2,,,
2017,10,27,NA,5,3,,,
2017,10,28,NA,4,1,,,
2017,10,29,NA,5,5,,,
2017,10,31,NA,2,5,,,
2017,11,5,NA,1,2,,,
2017,11,13,NA,1,4,,,
2017,11,14,NA,0,3,,,
2017,11,15,NA,2,2,,,
2017,11,26,NA,3,1,,,
2017,11,28,NA,4,1,,,
2017,11,29,NA,1,4,,,
2017,12,7,NA,2,1,,,
2017,12,9,NA,1,2,,,
2017,12,10,NA,0,3,,,
2017,12,13,NA,1,0,,,
2017,12,19,NA,0,2,,,
2017,12,22,A,1,2,,,
2017,12,22,B,2,0,,,
2017,12,24,A,2,4,,,
2017,12,24,B,0,2,,,
2017,12,29,NA,3,1,,,
2017,12,30,NA,1,2,,,
2018,1,1,NA,0,1,,,
2018,1,2,NA,2,2,,,
2018,1,7,A,3,0,,,
2018,1,7,B,2,2,,,
2018,1,13,NA,2,4,,,
2018,1,16,NA,1,0,,,
2018,1,17,NA,1,2,,,
2018,1,21,NA,3,2,,,
2018,1,22,NA,3,2,,,
2018,1,26,NA,1,1,,,
2018,2,3,NA,1,2,,,
2018,2,4,NA,2,1,,,
2018,2,11,NA,1,2,,,
2018,2,12,NA,2,3,,,
2018,2,14,NA,0,1,,,
2018,2,16,NA,3,0,,,
2018,2,17,NA,1,2,,,
2018,2,20,NA,1,2,,,
2018,2,25,NA,2,3,,,
2018,2,28,NA,1,1,,,
2018,3,4,NA,1,2,,,
2018,3,5,NA,0,1,,,
